feature,score,min,max,n_null,n_gt1w
x650,296,-1,416,10943,0,numeric
x991,293,-1,83,19,0,numeric
x531,292,-1,8072,19,0,numeric
x1104,292,-1,322,4951,0,numeric
x709,291,-1,77,19,0,numeric
x391,289,-1.0,4130.0,19,0,numeric
x273,289,-1,340,19,0,numeric
x390,289,-1,34,19,0,numeric
x857,288,-1,167,19,0,numeric
x924,287,-1,51,4951,0,numeric
x1120,286,1,8,0,0,category
x265,283,-1,21837,19,2,numeric
x547,283,-1,387,13030,0,numeric
x267,283,-1,125,19,0,numeric
x679,283,-1,81,19,0,numeric
x984,282,-1,40,19,0,numeric
x870,277,-1,25,19,0,numeric
x844,275,-1,9519,19,0,numeric
x819,273,-1,387,13061,0,numeric
x1063,273,-1,32,4951,0,numeric
x589,272,-1,3286,19,0,numeric
x983,272,-1,115,19,0,numeric
x720,271,-1,7309,19,0,numeric
x1068,270,-1,1519,4951,0,numeric
x326,269,-1,23,19,0,numeric
x330,268,-1.0,133.398,4280,0,numeric
x667,268,-1,21,19,0,numeric
x509,267,-1,632,19,0,numeric
x625,266,-1,66,19,0,numeric
x751,266,-1,62,19,0,numeric
x1053,260,-1,103,4951,0,numeric
x841,259,-1,44,19,0,numeric
x630,258,-1,2117,19,0,numeric
x436,257,-1,2863,52,0,numeric
x269,257,-1,323,19,0,numeric
x780,256,-1,10,44,0,numeric
x874,254,-1,153,19,0,numeric
x510,254,-1,103,19,0,numeric
x351,253,0.04,19558.0,0,10,numeric
x1060,253,-1,355,4951,0,numeric
x328,253,-1,21,92,0,numeric
x420,251,-1,24,19,0,numeric
x1007,250,-1,24,19,0,numeric
x790,249,-1,125,19,0,numeric
x595,249,-1,29,19,0,numeric
x918,245,-1,466,4951,0,numeric
x675,245,-1,87,19,0,numeric
x669,243,-1,3286,19,0,numeric
x862,243,-1,146,19,0,numeric
x904,243,-1,8,4951,0,numeric
x1112,241,1,33,0,0,category
x466,239,0,37,0,0,numeric
x971,239,-1,69,19,0,numeric
x1131,238,1,35,0,0,category
x594,237,-1,4373,19,0,numeric
x1008,237,-1,73,19,0,numeric
x973,236,-1,22785057,13588,1344,numeric
x242,236,-1,13642,19,1,numeric
x742,235,-1,2657,19,0,numeric
x905,235,-1,388,4951,0,numeric
x887,234,-1,54,4951,0,numeric
x937,233,-1,67,4951,0,numeric
x258,230,-1,233,19,0,numeric
x1048,229,-1,175,19,0,numeric
x597,226,-1,2324,19,0,numeric
x747,226,-1,619,19,0,numeric
x532,223,-1,6188,19,0,numeric
x345,222,-1.0,1748.13,19,0,numeric
x680,221,-1,89,19,0,numeric
x777,220,-1,150,19,0,numeric
x1067,219,-1,289,4951,0,numeric
x682,218,-1,112,19,0,numeric
x659,218,-1,90,19,0,numeric
x521,217,-1,464,19,0,numeric
x1111,216,1,27,0,0,category
x1084,216,-1,1065,4951,0,numeric
x793,216,-1,112,19,0,numeric
x892,215,-1,4,4951,0,numeric
x1118,214,1,34,0,0,category
x577,210,-1,58,19,0,numeric
x1078,209,-1.0,220.85,4951,0,numeric
x848,209,-1,112,19,0,numeric
x1006,209,-1,28,19,0,numeric
x838,208,-1,913,19,0,numeric
x955,208,-1,65,4421,0,numeric
x378,207,-1,64,19,0,numeric
x1041,207,-1,1,3647,0,category
x902,206,-1,79,4951,0,numeric
x705,205,-1,289,19,0,numeric
x910,205,-1,12,4951,0,numeric
x449,205,-1,1,14051,0,category
x411,204,1,7,0,0,category
x998,203,-1,65,19,0,numeric
x377,203,-1,43,19,0,numeric
x245,202,-1,302,19,0,numeric
x322,201,-1,63,19,0,numeric
x715,200,-1,8954,19,0,numeric
x745,200,-1,62,19,0,numeric
x251,198,-1,20582,19,5,numeric
x263,198,-1,1069,19,0,numeric
x756,197,-1,6508,19,0,numeric
x672,197,-1,103,19,0,numeric
x708,193,-1,65,19,0,numeric
x889,191,-1,20,4951,0,numeric
x243,189,-1,154,19,0,numeric
x908,189,-1,55,4951,0,numeric
x795,187,-1,914,19,0,numeric
x789,187,-1,251,19,0,numeric
x770,187,-1,186,19,0,numeric
x1066,186,-1,308,4951,0,numeric
x939,185,-1,6,4951,0,numeric
x464,183,0,198,0,0,numeric
x327,182,-1,3157,92,0,numeric
x969,182,-1,49,19,0,numeric
x962,182,-1,19,4421,0,numeric
x519,179,-1,150,19,0,numeric
x402,179,-1,95,19,0,numeric
x880,179,-1,57,19,0,numeric
x1049,179,-1,33,19,0,numeric
x1113,178,1,33,0,0,category
x1062,178,-1,280,4951,0,numeric
x1012,177,-1,51,19,0,numeric
x693,176,-1,1536,19,0,numeric
x1136,175,1,8,0,0,category
x1013,174,-1,15,19,0,numeric
x1123,170,1,8,0,0,category
x935,170,-1,82,4951,0,numeric
x569,168,-1,36,19,0,numeric
x465,167,0,388,0,0,numeric
x260,167,-1,170,19,0,numeric
x332,167,-1,38,19,0,numeric
x1046,165,-1,1,24,0,category
x423,164,-1,6,19,0,numeric
x544,161,-1,11,19,0,numeric
x570,160,-1,2599,19,0,numeric
x783,158,-1,5495,19,0,numeric
x1119,155,1,8,0,0,category
x467,153,0,11,0,0,numeric
x596,152,-1,20,19,0,numeric
x1002,152,-1,12,19,0,numeric
x840,150,-1,64,19,0,numeric
x694,149,-1,54,19,0,numeric
x375,149,-1,44,19,0,numeric
x1133,148,1,8,0,0,category
x930,148,-1,20,4951,0,numeric
x1128,147,1,8,0,0,category
x915,147,-1,247,4951,0,numeric
x1106,145,-1,266,4951,0,numeric
x586,145,-1,214,19,0,numeric
x1000,145,-1,51,19,0,numeric
x414,145,-1,14,19,0,numeric
x753,144,-1,68,19,0,numeric
x324,143,-1,5,19,0,numeric
x759,142,-1,69,19,0,numeric
x627,140,-1,301,19,0,numeric
x612,139,-1,106,19,0,numeric
x561,138,-1,96,19,0,numeric
x1125,135,1,8,0,0,category
x639,135,-1,12,19,0,numeric
x1107,134,1,34,0,0,category
x717,133,-1,369,19,0,numeric
x376,133,-1,52,19,0,numeric
x456,133,-1,34,13778,0,numeric
x1127,132,1,8,0,0,category
x628,132,-1,304,19,0,numeric
x608,132,-1,70,19,0,numeric
x444,132,-1,1,13651,0,category
x1081,130,-1,89,4951,0,numeric
x632,130,-1,82,19,0,numeric
x567,129,-1,13,19,0,numeric
x794,127,-1,112,19,0,numeric
x921,126,-1,54,4951,0,numeric
x810,125,-1,772,19,0,numeric
x457,124,0,256,0,0,numeric
x1073,124,-1,930,4951,0,numeric
x807,124,-1,14,19,0,numeric
x673,120,-1,73,19,0,numeric
x739,118,-1,1385,19,0,numeric
x706,117,-1,67,19,0,numeric
x671,114,-1,4435,19,0,numeric
x580,114,-1,202,19,0,numeric
x572,114,-1,80,19,0,numeric
x1028,114,-1,28,19,0,numeric
x926,114,-1,23,4951,0,numeric
x816,113,-1,72,19,0,numeric
x931,113,-1,2,4951,0,numeric
x492,111,-1,298,19,0,numeric
x502,108,-1,1385,19,0,numeric
x1101,107,-1,318,4951,0,numeric
x311,107,-1,1,3663,0,category
x539,106,-1,9764,19,0,numeric
x975,106,-1,49,19,0,numeric
x928,106,-1,24,4951,0,numeric
x934,105,-1,6,4951,0,numeric
x1075,103,-1,196,4951,0,numeric
x714,103,-1,76,19,0,numeric
x799,103,-1,11,19,0,numeric
x309,102,-1,1,2870,0,category
x600,100,-1,22,19,0,numeric
x832,99,-1,1779,19,0,numeric
x1126,98,1,8,0,0,category
x885,97,-1,1,4951,0,category
x1121,96,1,8,0,0,category
x1089,96,-1,397,4951,0,numeric
x1085,96,-1,262,4951,0,numeric
x701,96,-1,18,19,0,numeric
x801,92,-1,90,19,0,numeric
x618,91,-1,72,19,0,numeric
x938,91,-1,6,4951,0,numeric
x779,91,-1,5,44,0,numeric
x712,90,-1,106,19,0,numeric
x1027,89,-1,14,19,0,numeric
x279,87,-1,3959,19,0,numeric
x1056,86,-1,101,4951,0,numeric
x1040,86,-1,1,2850,0,category
x250,85,-1,3036,19,0,numeric
x1094,85,-1,99,4951,0,numeric
x280,84,-1,155,19,0,numeric
x290,83,-1,4355,19,0,numeric
x1061,83,-1,28,4951,0,numeric
x416,81,1,4,0,0,category
x425,81,-1,245,19,0,numeric
x1030,81,-1,16,19,0,numeric
x1082,79,-1,605,4951,0,numeric
x664,78,-1,3151,19,0,numeric
x808,78,-1,6,19,0,numeric
x622,77,-1,145,19,0,numeric
x718,77,-1,74,19,0,numeric
x1054,76,-1,100,4951,0,numeric
x1042,76,-1,1,443,0,category
x758,75,-1,154,19,0,numeric
x1014,75,-1,13,19,0,numeric
x419,74,-1,22,19,0,numeric
x888,74,-1,15,4951,0,numeric
x1071,73,-1,838,4951,0,numeric
x1076,73,-1,251,4951,0,numeric
x882,72,-1,25,4951,0,numeric
x264,70,-1,261,19,0,numeric
x1088,70,-1,208,4951,0,numeric
x670,70,-1,14,19,0,numeric
x454,70,-1,1,13778,0,category
x1070,69,-1,196,4951,0,numeric
x1086,69,-1,86,4951,0,numeric
x540,69,-1,3,83,0,numeric
x719,68,-1,79,19,0,numeric
x302,68,-2,1,25,0,category
x1122,66,1,8,0,0,category
x281,66,-1,167,19,0,numeric
x740,66,-1,61,19,0,numeric
x989,66,-1,26,19,0,numeric
x571,65,-1,87,19,0,numeric
x881,65,-1,20,4951,0,numeric
x599,64,-1,25,19,0,numeric
x919,64,-1,22,4951,0,numeric
x508,63,-1,256,19,0,numeric
x932,63,-1,15,4951,0,numeric
x537,62,-1,592,19,0,numeric
x1099,62,-1,263,4951,0,numeric
x871,61,-1,15,19,0,numeric
x1091,60,-1,113,4951,0,numeric
x691,60,-1,33,19,0,numeric
x315,60,-1,1,94,0,category
x1058,59,-1,98,4951,0,numeric
x249,58,-1,4906,19,0,numeric
x1069,58,-1,172,4951,0,numeric
x1092,56,-1,124,4951,0,numeric
x755,56,-1,64,19,0,numeric
x441,56,-1,15,13998,0,numeric
x893,55,-1,6,4951,0,numeric
x811,55,-1,4,83,0,numeric
x702,54,-1,17,19,0,numeric
x1036,54,-1,1,585,0,category
x1096,53,-1,261,4951,0,numeric
x1038,53,-1,1,4171,0,category
x784,52,-1,26,19,0,numeric
x1080,51,-1,226,4951,0,numeric
x754,50,-1,36,19,0,numeric
x314,50,-1,1,63,0,category
x1097,49,-1,139,4951,0,numeric
x598,48,-1,3027,19,0,numeric
x917,48,-1,15,4951,0,numeric
x668,48,-1,10,19,0,numeric
x308,46,-1,1,4191,0,category
x1043,44,-1,1,453,0,category
x1031,44,-1,0,13298,0,category
x1065,43,-1,27,4951,0,numeric
x310,43,-1,1,3657,0,category
x1047,42,-1,1,576,0,category
x1032,42,-1,1,34,0,category
x854,41,-1,230,19,0,numeric
x1124,40,1,8,0,0,category
x891,40,-1,8,4951,0,numeric
x317,40,-1,1,85,0,category
x442,40,-1,0,13651,0,numeric
x331,39,-1,6,19,0,numeric
x1044,39,-1,1,13298,0,category
x884,39,-1,1,4951,0,category
x319,39,-1,1,53,0,category
x543,38,-1,18,19,0,numeric
x300,37,-1,1,8534,0,category
x498,36,-1,2148,83,0,numeric
x261,36,-1,39,19,0,numeric
x1045,36,-1,1,34,0,category
x970,35,-1,22,19,0,numeric
x901,35,-1,4,4951,0,numeric
x724,34,-1,45,19,0,numeric
x916,34,-1,12,4951,0,numeric
x900,34,-1,5,4951,0,numeric
x501,33,-1,2148,83,0,numeric
x1098,33,-1,68,4951,0,numeric
x688,32,-1,256,19,0,numeric
x936,32,-1,5,4951,0,numeric
x898,32,-1,5,4951,0,numeric
x447,32,-1,0,14051,0,category
x451,31,-1,15,14051,0,numeric
x303,31,-1,1,186,0,category
x313,31,-1,1,95,0,category
x907,29,-1,52,4951,0,numeric
x536,29,-1,6,19,0,numeric
x320,29,-1,1,84,0,category
x452,29,-1,0,13778,0,category
x896,28,-1,4,4951,0,numeric
x301,28,-1,1,14517,0,category
x439,28,-1,1,13998,0,category
x1100,27,-1,206,4951,0,numeric
x925,27,-1,12,4951,0,numeric
x443,27,-1,1,13651,0,numeric
x872,26,-1,20,19,0,numeric
x834,26,-1,15,19,0,numeric
x316,25,-1,1,53,0,category
x1033,25,-1,0,13355,0,category
x662,24,-1,31,19,0,numeric
x1050,24,-1,1,13298,0,category
x426,24,-1,1,19,0,category
x518,23,-1,681,19,0,numeric
x1037,23,-1,1,24,0,category
x1039,23,-1,0,13297,0,category
x507,22,-1,304,83,0,numeric
x247,22,-1,42,19,0,numeric
x927,22,-1,3,4951,0,numeric
x453,22,-1,0,13778,0,category
x1034,22,-1,0,13342,0,category
x635,21,-1,1746,19,0,numeric
x1093,21,-1,22,4951,0,numeric
x505,19,-1,304,83,0,numeric
x1079,19,-1,53,4951,0,numeric
x262,19,-1,32,19,0,numeric
x906,19,-1,10,4951,0,numeric
x445,19,-1,1,13651,0,numeric
x1095,18,-1,46,4951,0,numeric
x817,17,-1,681,19,0,numeric
x438,17,-1,0,13998,0,category
x711,16,-1,18,19,0,numeric
x278,15,-1,3545,19,0,numeric
x437,15,-1,0,13998,0,numeric
x620,14,-1,395,19,0,numeric
x275,14,-1,50,19,0,numeric
x922,14,-1,8,4951,0,numeric
x312,14,-1,1,63,0,category
x448,14,-1,0,14051,0,category
x965,13,-1,23,19,0,numeric
x903,13,-1,11,4951,0,numeric
x455,13,-1,0,13778,0,category
x450,12,-1,0,14051,0,category
x276,11,-1,5475,19,0,numeric
x929,11,-1,2,4951,0,numeric
x1051,11,-1,0,13297,0,category
x833,9,-1,1246,19,0,numeric
x723,9,-1,8,19,0,numeric
x440,9,-1,0,13998,0,category
x495,8,-1,454,83,0,numeric
x912,8,-1,10,4951,0,numeric
x895,8,-1,3,4951,0,numeric
x644,6,-1,395,19,0,numeric
x321,6,-1,1,19,0,category
x1052,6,-1,0,13298,0,category
x1132,5,1,7,0,0,category
x291,5,-1,28,19,0,numeric
x923,5,-1,4,4951,0,numeric
x500,4,-1,454,83,0,numeric
x248,4,-1,66,19,0,numeric
x899,4,-1,2,4951,0,numeric
x886,4,-1,1,4951,0,category
x744,3,-1,10,19,0,numeric
x318,3,-1,1,19,0,category
x1134,2,7,8,0,0,category
x776,2,-1,2223,19,0,numeric
x619,2,-1,8,19,0,numeric
x696,1,-1,1708,19,0,numeric
x773,1,-1,494,19,0,numeric
x812,1,-1,3,19,0,numeric
x894,1,-1,2,4951,0,numeric
x883,1,-1,1,4951,0,category
