feature,score,min,max,n_null,n_gt1w
x986,1152,-1,122,19,0,numeric
x4,1152,-1.0,78.13,19,0,numeric
x558,1151,-1,52514,19,145,numeric
x842,1151,-1,35156,19,9,numeric
x30,1149,-1.0,100.0,130,0,numeric
x158,1149,-1.0,18.52,92,0,numeric
x346,1147,0.01,2950.0,0,0,numeric
x352,1142,0.01,726.0,0,0,numeric
x825,1127,-1,52934,19,32,numeric
x609,1127,-1,4966,19,0,numeric
x219,1127,-1.0,42.86,131,0,numeric
x240,1126,-1.0,100.0,131,0,numeric
x852,1124,-1,24189,19,33,numeric
x97,1124,-1.0,28.57,83,0,numeric
x846,1114,-1,74671,19,27,numeric
x121,1114,-1.0,37.04,92,0,numeric
x656,1110,-1,27947,19,2,numeric
x191,1110,-1.0,34.61,19,0,numeric
x392,1108,-1,735675,19,1,numeric
x289,1104,-1,361,907,0,numeric
x272,1102,-1,45269,19,33,numeric
x185,1100,-1.0,100.0,131,0,numeric
x601,1098,-1,3019,19,0,numeric
x140,1096,-1.0,100.0,130,0,numeric
x942,1093,-1.0,3483648.0,285,172,numeric
x208,1091,-1.0,100.0,92,0,numeric
x205,1090,-1.0,57.14,92,0,numeric
x366,1086,-1.0,7748103.03,92,247,numeric
x769,1086,-1,120625,19,38,numeric
x183,1085,-1.0,100.0,131,0,numeric
x125,1085,-1.0,100.0,131,0,numeric
x305,1084,-1,875860,19,2241,numeric
x427,1084,-1.0,151.31,52,0,numeric
x241,1081,-1,74077,19,36,numeric
x50,1081,-1.0,14.29,92,0,numeric
x182,1079,-1.0,72.45,92,0,numeric
x105,1077,-1.0,100.0,130,0,numeric
x222,1076,-1.0,14.08,19,0,numeric
x565,1072,-1,6136,19,0,numeric
x336,1067,-1,278,7095,0,numeric
x477,1064,-1,3400,20,0,numeric
x878,1057,-1,723,19,0,numeric
x822,1055,-1,95326,19,329,numeric
x867,1054,-1,19126,19,2,numeric
x72,1052,-1.0,49.0,19,0,numeric
x763,1048,-1,74565,19,192,numeric
x8,1048,-1.0,42.22,19,0,numeric
x358,1045,0.0,13120.0,0,1,numeric
x111,1044,-1.0,58.88,19,0,numeric
x173,1044,-1.0,35.29,19,0,numeric
x947,1043,-1.0,8313.53,285,0,numeric
x60,1041,-1.0,100.0,83,0,numeric
x190,1039,-1.0,21.97,19,0,numeric
x823,1033,-1,12234,19,7,numeric
x849,1030,-1,76376,19,31,numeric
x654,1028,-1,29714,19,13,numeric
x257,1023,-1,30561,19,38,numeric
x698,1021,-1,66452,19,7,numeric
x39,1021,-1.0,17.6,19,0,numeric
x362,1019,0.0,620.0,0,0,numeric
x129,1016,-1.0,66.67,131,0,numeric
x514,1015,-1,15950,19,2,numeric
x560,1012,-1,14517,19,3,numeric
x57,1010,-1.0,100.0,131,0,numeric
x528,1004,-1,29522,19,9,numeric
x1010,1004,-1,398,19,0,numeric
x490,1003,-1,120,19,0,numeric
x195,1001,-1.0,25.42,19,0,numeric
x1024,999,-1,799,19,0,numeric
x435,999,-1.0,81.05,52,0,numeric
x474,998,-1,736,20,0,numeric
x152,998,-1.0,40.65,19,0,numeric
x395,995,-1,279,19,0,numeric
x35,991,-1.0,42.82,19,0,numeric
x70,989,-1.0,45.41,19,0,numeric
x120,988,-1.0,100.0,92,0,numeric
x149,988,-1.0,23.53,19,0,numeric
x356,987,0.0,814.0,0,0,numeric
x858,987,-1,24487,19,3,numeric
x74,987,-1.0,35.13,19,0,numeric
x223,984,-1.0,30.21,19,0,numeric
x21,977,-1.0,68.95,131,0,numeric
x1019,975,-1,109,19,0,numeric
x511,974,-1,677179,19,91,numeric
x683,974,-1,20357,19,4,numeric
x766,971,-1,249,19,0,numeric
x128,971,-1.0,100.0,131,0,numeric
x357,971,-100.26,9656.69,160,0,numeric
x52,970,-1.0,46.1,92,0,numeric
x237,968,-1.0,50.0,131,0,numeric
x88,967,-1.0,100.0,131,0,numeric
x46,964,-1.0,33.89,19,0,numeric
x681,962,-1,143,19,0,numeric
x51,962,-1.0,28.57,92,0,numeric
x84,961,-1.0,47.45,92,0,numeric
