贵阳历史天气预报 ,,,
日期,天气状况,气温,风力风向
2015年6月13日,阵雨 /中雨,23℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年6月14日,阵雨 /阴,23℃ / 19℃,东北风 ≤3级 /南风 ≤3级
2015年6月15日,阴 /多云,25℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年6月16日,多云 /多云,27℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年6月17日,多云 /大雨,28℃ / 19℃,南风 ≤3级 /东北风 ≤3级
2015年6月18日,阵雨 /阵雨,23℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年6月19日,阵雨 /阵雨,24℃ / 19℃,东风 ≤3级 /东北风 ≤3级
2015年6月20日,阴 /暴雨,24℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年6月21日,阵雨 /阵雨,22℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年6月22日,阴 /阴,25℃ / 20℃,东南风 ≤3级 /南风 ≤3级
2015年6月23日,多云 /多云,28℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年6月24日,多云 /阵雨,28℃ / 21℃,南风 ≤3级 /东南风 ≤3级
2015年6月25日,阵雨 /阵雨,28℃ / 21℃,东南风 ≤3级 /东南风 ≤3级
2015年6月26日,阵雨 /多云,28℃ / 21℃,东南风 ≤3级 /东南风 ≤3级
2015年6月27日,多云 /多云,30℃ / 23℃,南风 ≤3级 /南风 3-4级
2015年6月28日,多云 /多云,31℃ / 23℃,南风 ≤3级 /南风 ≤3级
2015年6月29日,多云 /多云,31℃ / 23℃,南风 ≤3级 /南风 ≤3级
2015年6月30日,多云 /雷阵雨,30℃ / 22℃,东北风 ≤3级 /东南风 ≤3级
2015年7月1日,阵雨 /阵雨,25℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月2日,阵雨 /阵雨,26℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月3日,阵雨 /阵雨,24℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年7月4日,阵雨 /阵雨,21℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年7月5日,阵雨 /阴,20℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年7月6日,多云 /多云,26℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年7月7日,多云 /多云,26℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年7月8日,多云 /多云,27℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年7月9日,多云 /多云,27℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年7月10日,多云 /多云,28℃ / 18℃,东北风 ≤3级 /东风 ≤3级
2015年7月11日,多云 /多云,28℃ / 19℃,东风 ≤3级 /东风 ≤3级
2015年7月12日,多云 /多云,30℃ / 20℃,东南风 ≤3级 /南风 ≤3级
2015年7月13日,晴 /多云,31℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年7月14日,多云 /大雨,30℃ / 20℃,南风 ≤3级 /南风 ≤3级
2015年7月15日,阵雨 /阴,25℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年7月16日,多云 /阴,27℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年7月17日,多云 /多云,27℃ / 19℃,东风 ≤3级 /东北风 ≤3级
2015年7月18日,多云 /多云,29℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月19日,多云 /多云,29℃ / 20℃,东风 ≤3级 /东北风 ≤3级
2015年7月20日,多云 /多云,27℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月21日,多云 /多云,29℃ / 21℃,东南风 ≤3级 /南风 ≤3级
2015年7月22日,雷阵雨 /中雨,26℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年7月23日,阴 /阴,25℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月24日,多云 /多云,27℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月25日,多云 /多云,27℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年7月26日,阵雨 /多云,28℃ / 19℃,东北风 ≤3级 /东南风 ≤3级
2015年7月27日,多云 /多云,29℃ / 19℃,东风 ≤3级 /东北风 ≤3级
2015年7月28日,阵雨 /阵雨,25℃ / 20℃,东北风 ≤3级 /东南风 ≤3级
2015年7月29日,阵雨 /阵雨,26℃ / 19℃,东南风 ≤3级 /东南风 ≤3级
2015年7月30日,阵雨 /阵雨,26℃ / 19℃,东南风 ≤3级 /南风 ≤3级
2015年7月31日,阵雨 /阵雨,25℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月1日,阵雨 /多云,26℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月2日,阵雨 /阵雨,27℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月3日,多云 /阵雨,26℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月4日,阵雨 /阵雨,26℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月5日,阵雨 /阵雨,26℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月6日,阵雨 /多云,26℃ / 20℃,南风 ≤3级 /南风 ≤3级
2015年8月7日,阵雨 /多云,26℃ / 20℃,东北风 ≤3级 /南风 ≤3级
2015年8月8日,多云 /多云,27℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年8月9日,多云 /多云,26℃ / 19℃,东北风 ≤3级 /东北风 ≤3级
2015年8月10日,多云 /多云,28℃ / 20℃,东北风 ≤3级 /东北风 ≤3级
2015年8月11日,阵雨 /雷阵雨,27℃ / 19℃,东南风 ≤3级 /南风 ≤3级
2015年8月12日,中雨 /阵雨,26℃ / 19℃,东风 ≤3级 /南风 ≤3级
2015年8月13日,阵雨 /阵雨,27℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年8月14日,多云 /多云,29℃ / 21℃,南风 ≤3级 /南风 ≤3级
2015年8月15日,雷阵雨 /阵雨,28℃ / 21℃,南风 ≤3级 /东南风 ≤3级
2015年8月16日,阵雨 /阵雨,28℃ / 21℃,东南风 ≤3级 /东南风 ≤3级
2015年8月17日,阵雨 /雷阵雨,27℃ / 21℃,东南风 ≤3级 /南风 ≤3级
2015年8月18日,中雨 /阵雨,24℃ / 18℃,南风 ≤3级 /东北风 ≤3级
2015年8月19日,阵雨 /阴,22℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年8月20日,阴 /晴,23℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年8月21日,晴 /多云,26℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年8月22日,晴 /晴,29℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年8月23日,多云 /多云,28℃ / 18℃,东北风 ≤3级 /东风 ≤3级
2015年8月24日,多云 /阵雨,25℃ / 17℃,东北风 ≤3级 /东南风 ≤3级
2015年8月25日,大雨 /阵雨,21℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年8月26日,阵雨 /阵雨,21℃ / 18℃,东南风 ≤3级 /东南风 ≤3级
2015年8月27日,阵雨 /大雨,23℃ / 18℃,东南风 ≤3级 /东北风 ≤3级
2015年8月28日,中雨 /阵雨,21℃ / 18℃,东北风 ≤3级 /东北风 ≤3级
2015年8月29日,多云 /阵雨,24℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年8月30日,多云 /多云,26℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年8月31日,多云 /多云,27℃ / 17℃,东北风 ≤3级 /东北风 ≤3级
2015年9月1日,多云 /多云,27℃ / 19℃,东北风 ≤3级 /东风 ≤3级
2015年9月2日,阵雨 /阵雨,26℃ / 19℃,东风 ≤3级 /东南风 ≤3级
2015年9月3日,阴 /阵雨,25℃ / 19℃,东南风 ≤3级 /东南风 ≤3级
2015年9月4日,阵雨 /阵雨,26℃ / 20℃,东南风 ≤3级 /南风 ≤3级
2015年9月5日,阵雨 /雷阵雨,26℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年9月6日,中雨 /阵雨,24℃ / 19℃,东北风 ≤3级 /东风 ≤3级
2015年9月7日,阵雨 /阵雨,22℃ / 18℃,东风 ≤3级 /东北风 ≤3级
2015年9月8日,阴 /阵雨,24℃ / 19℃,东风 ≤3级 /东南风 ≤3级
2015年9月9日,阵雨 /阴,24℃ / 19℃,东南风 ≤3级 /南风 ≤3级
2015年9月10日,多云 /多云,26℃ / 20℃,南风 ≤3级 /东南风 ≤3级
2015年9月11日,阵雨 /阵雨,23℃ / 15℃,东南风 ≤3级 /东北风 ≤3级
2015年9月12日,阵雨 /阴,19℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年9月13日,阴 /阴,20℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年9月14日,多云 /阴,22℃ / 15℃,东风 ≤3级 /东风 ≤3级
2015年9月15日,多云 /阴,24℃ / 15℃,东风 ≤3级 /东风 ≤3级
2015年9月16日,阴 /阴,24℃ / 16℃,东南风 ≤3级 /东南风 ≤3级
2015年9月17日,阴 /阵雨,24℃ / 17℃,东南风 ≤3级 /南风 ≤3级
2015年9月18日,阵雨 /阵雨,23℃ / 18℃,东北风 ≤3级 /南风 ≤3级
2015年9月19日,阵雨 /阵雨,22℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年9月20日,阵雨 /阵雨,19℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年9月21日,阵雨 /阴,20℃ / 17℃,东北风 ≤3级 /东南风 ≤3级
2015年9月22日,阵雨 /阵雨,22℃ / 17℃,东南风 ≤3级 /东北风 ≤3级
2015年9月23日,阴 /阴,22℃ / 19℃,东南风 ≤3级 /南风 ≤3级
2015年9月24日,阵雨 /阵雨,24℃ / 16℃,南风 ≤3级 /东北风 ≤3级
2015年9月25日,阵雨 /阵雨,19℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年9月26日,阵雨 /阵雨,20℃ / 17℃,东北风 ≤3级 /东南风 ≤3级
2015年9月27日,阴 /阴,22℃ / 16℃,东南风 ≤3级 /东南风 ≤3级
2015年9月28日,阴 /阵雨,23℃ / 18℃,东南风 ≤3级 /东风 ≤3级
2015年9月29日,多云 /多云,24℃ / 17℃,东风 ≤3级 /东北风 ≤3级
2015年9月30日,多云 /多云,25℃ / 14℃,东北风 ≤3级 /南风 ≤3级
2015年10月1日,阵雨 /多云,19℃ / 14℃,东北风 ≤3级 /东北风 ≤3级
2015年10月2日,多云 /多云,22℃ / 16℃,东北风 ≤3级 /东北风 ≤3级
2015年10月3日,阴 /阴,21℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年10月4日,多云 /阵雨,21℃ / 14℃,东北风 ≤3级 /东北风 ≤3级
2015年10月5日,中雨 /阵雨,15℃ / 14℃,东北风 ≤3级 /东北风 ≤3级
2015年10月6日,阵雨 /阵雨,18℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年10月7日,阴 /阵雨,21℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年10月8日,阵雨 /中雨,18℃ / 13℃,东北风 ≤3级 /东风 ≤3级
2015年10月9日,中雨 /小雨,15℃ / 11℃,东风 ≤3级 /东北风 ≤3级
2015年10月10日,小雨 /阴,15℃ / 11℃,东北风 ≤3级 /东北风 ≤3级
2015年10月11日,多云 /晴,21℃ / 10℃,东风 ≤3级 /东北风 ≤3级
2015年10月12日,多云 /多云,21℃ / 12℃,东北风 ≤3级 /南风 ≤3级
2015年10月13日,多云 /多云,21℃ / 12℃,南风 ≤3级 /南风 ≤3级
2015年10月14日,多云 /晴,22℃ / 12℃,东南风 ≤3级 /东风 ≤3级
2015年10月15日,多云 /多云,25℃ / 12℃,东风 ≤3级 /东南风 ≤3级
2015年10月16日,多云 /多云,24℃ / 15℃,东南风 ≤3级 /东南风 ≤3级
2015年10月17日,多云 /雷阵雨,24℃ / 15℃,东南风 ≤3级 /东南风 ≤3级
2015年10月18日,阵雨 /阵雨,21℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年10月19日,阵雨 /多云,22℃ / 14℃,东北风 ≤3级 /东风 ≤3级
2015年10月20日,多云 /多云,24℃ / 13℃,东风 ≤3级 /东南风 ≤3级
2015年10月21日,多云 /多云,25℃ / 13℃,东南风 ≤3级 /南风 ≤3级
