贵阳历史天气预报 ,,,
日期,天气状况,气温,风力风向
2015年3月10日,小雨 /小雨,8℃ / 4℃,东北风 ≤3级 /东北风 ≤3级
2015年3月11日,阴 /小雨,8℃ / 4℃,东北风 ≤3级 /东北风 ≤3级
2015年3月12日,多云 /多云,16℃ / 10℃,南风 ≤3级 /南风 ≤3级
2015年3月13日,多云 /阵雨,17℃ / 12℃,南风 ≤3级 /南风 ≤3级
2015年3月14日,阴 /阴,17℃ / 12℃,南风 ≤3级 /东南风 ≤3级
2015年3月15日,阴 /阴,18℃ / 13℃,东风 ≤3级 /南风 ≤3级
2015年3月16日,阴 /多云,20℃ / 15℃,南风 ≤3级 /南风 ≤3级
2015年3月17日,多云 /多云,25℃ / 14℃,南风 ≤3级 /南风 ≤3级
2015年3月18日,多云 /多云,24℃ / 14℃,南风 ≤3级 /南风 ≤3级
2015年3月19日,多云 /阵雨,26℃ / 12℃,南风 ≤3级 /东北风 ≤3级
2015年3月20日,阴 /阵雨,14℃ / 10℃,东北风 ≤3级 /东北风 ≤3级
2015年3月21日,阴 /阴,16℃ / 11℃,东北风 ≤3级 /东南风 ≤3级
2015年3月22日,阵雨 /阵雨,19℃ / 10℃,东南风 ≤3级 /东风 ≤3级
2015年3月23日,多云 /阴,17℃ / 9℃,东北风 ≤3级 /东北风 ≤3级
2015年3月24日,小雨 /阵雨,13℃ / 7℃,东北风 ≤3级 /东北风 ≤3级
2015年3月25日,阴 /阵雨,14℃ / 9℃,东北风 ≤3级 /东北风 ≤3级
2015年3月26日,阴 /阵雨,17℃ / 12℃,南风 ≤3级 /南风 ≤3级
2015年3月27日,阵雨 /阵雨,18℃ / 13℃,南风 ≤3级 /南风 ≤3级
2015年3月28日,阵雨 /雷阵雨,17℃ / 14℃,南风 ≤3级 /南风 ≤3级
2015年3月29日,阴 /多云,18℃ / 15℃,东风 ≤3级 /南风 ≤3级
2015年3月30日,晴 /多云,24℃ / 17℃,南风 ≤3级 /南风 ≤3级
2015年3月31日,多云 /多云,28℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年4月1日,多云 /多云,29℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年4月2日,多云 /多云,30℃ / 18℃,南风 ≤3级 /南风 ≤3级
2015年4月3日,多云 /多云,30℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年4月4日,多云 /多云,29℃ / 18℃,南风 ≤3级 /南风 ≤3级
2015年4月5日,阴 /阵雨,30℃ / 12℃,南风 ≤3级 /东北风 ≤3级
2015年4月6日,阵雨 /阵雨,17℃ / 7℃,东北风 ≤3级 /东北风 ≤3级
2015年4月7日,小雨 /小雨,9℃ / 5℃,东北风 ≤3级 /东北风 ≤3级
2015年4月8日,小雨 /小雨,10℃ / 6℃,东北风 ≤3级 /东北风 ≤3级
2015年4月9日,阴 /小雨,11℃ / 7℃,东北风 ≤3级 /东北风 ≤3级
2015年4月10日,小雨 /小雨,12℃ / 8℃,东北风 ≤3级 /东北风 ≤3级
2015年4月11日,多云 /多云,15℃ / 9℃,东北风 ≤3级 /东风 ≤3级
2015年4月12日,晴 /多云,21℃ / 7℃,东风 ≤3级 /东风 ≤3级
2015年4月13日,晴 /多云,23℃ / 8℃,东北风 ≤3级 /东北风 ≤3级
2015年4月14日,晴 /多云,22℃ / 9℃,东风 ≤3级 /东风 ≤3级
2015年4月15日,多云 /多云,24℃ / 16℃,东南风 ≤3级 /南风 ≤3级
2015年4月16日,多云 /多云,29℃ / 17℃,南风 ≤3级 /南风 ≤3级
2015年4月17日,多云 /多云,28℃ / 19℃,南风 ≤3级 /南风 ≤3级
2015年4月18日,多云 /雷阵雨,29℃ / 16℃,南风 ≤3级 /南风 ≤3级
2015年4月19日,阵雨 /阵雨,22℃ / 13℃,东北风 ≤3级 /东北风 ≤3级
2015年4月20日,阴 /阴,20℃ / 11℃,东北风 ≤3级 /东北风 ≤3级
2015年4月21日,阴 /阵雨,17℃ / 10℃,东北风 ≤3级 /东北风 ≤3级
2015年4月22日,小雨 /小雨,15℃ / 10℃,东北风 ≤3级 /东北风 ≤3级
2015年4月23日,阴 /小雨,16℃ / 10℃,东北风 ≤3级 /东北风 ≤3级
2015年4月24日,阴 /小雨,16℃ / 11℃,东风 ≤3级 /东风 ≤3级
2015年4月25日,阴 /阵雨,20℃ / 11℃,东风 ≤3级 /东南风 ≤3级
2015年4月26日,阵雨 /阵雨,18℃ / 14℃,东南风 ≤3级 /东北风 ≤3级
2015年4月27日,阴 /雷阵雨,21℃ / 14℃,东南风 ≤3级 /东北风 ≤3级
2015年4月28日,多云 /多云,25℃ / 15℃,东北风 ≤3级 /东北风 ≤3级
2015年4月29日,阵雨 /阵雨,26℃ / 16℃,东北风 ≤3级 /东南风 ≤3级
2015年4月30日,阵雨 /阵雨,25℃ / 17℃,东南风 ≤3级 /东南风 ≤3级
2015年5月1日,阵雨 /多云,25℃ / 14℃,东南风 ≤3级 /东北风 ≤3级
2015年5月2日,多云 /阵雨,26℃ / 16℃,东北风 ≤3级 /东风 ≤3级
